"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","Reporting_Airline","DOT_ID_Reporting_Airline","IATA_CODE_Reporting_Airline","Tail_Number","Flight_Number_Reporting_Airline","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum",
2024,1,2,17,6,2024-02-17,"9E",20363,"9E","N922XJ","4800",12953,1295304,31703,"LGA","New York, NY","NY","36","New York",22,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0959","0952",-7.00,0.00,0.00,-1,"0900-0959",55.00,"1047","1300",9.00,"1245","1309",24.00,24.00,1.00,1,"1200-1259",0.00,"",0.00,226.00,257.00,193.00,1.00,1107.00,5,0.00,0.00,24.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,17,6,2024-02-17,"9E",20363,"9E","N922XJ","4800",13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,12953,1295304,31703,"LGA","New York, NY","NY","36","New York",22,"1500","1450",-10.00,0.00,0.00,-1,"1500-1559",18.00,"1508","1811",7.00,"1847","1818",-29.00,0.00,0.00,-2,"1800-1859",0.00,"",0.00,167.00,148.00,123.00,1.00,1107.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,1,4,2024-02-01,"9E",20363,"9E","N920XJ","4801",12953,1295304,31703,"LGA","New York, NY","NY","36","New York",22,13871,1387102,33316,"OMA","Omaha, NE","NE","31","Nebraska",65,"0856","0852",-4.00,0.00,0.00,-1,"0800-0859",31.00,"0923","1114",3.00,"1135","1117",-18.00,0.00,0.00,-2,"1100-1159",0.00,"",0.00,219.00,205.00,171.00,1.00,1148.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,2,5,2024-02-02,"9E",20363,"9E","N482PX","4801",12953,1295304,31703,"LGA","New York, NY","NY","36","New York",22,13871,1387102,33316,"OMA","Omaha, NE","NE","31","Nebraska",65,"0856","0848",-8.00,0.00,0.00,-1,"0800-0859",14.00,"0902","1027",28.00,"1135","1055",-40.00,0.00,0.00,-2,"1100-1159",0.00,"",0.00,219.00,187.00,145.00,1.00,1148.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,5,1,2024-02-05,"9E",20363,"9E","N479PX","4801",12953,1295304,31703,"LGA","New York, NY","NY","36","New York",22,13871,1387102,33316,"OMA","Omaha, NE","NE","31","Nebraska",65,"0856","0844",-12.00,0.00,0.00,-1,"0800-0859",40.00,"0924","1053",5.00,"1135","1058",-37.00,0.00,0.00,-2,"1100-1159",0.00,"",0.00,219.00,194.00,149.00,1.00,1148.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,6,2,2024-02-06,"9E",20363,"9E","N538CA","4801",12953,1295304,31703,"LGA","New York, NY","NY","36","New York",22,13871,1387102,33316,"OMA","Omaha, NE","NE","31","Nebraska",65,"0850","0845",-5.00,0.00,0.00,-1,"0800-0859",32.00,"0917","1057",2.00,"1131","1059",-32.00,0.00,0.00,-2,"1100-1159",0.00,"",0.00,221.00,194.00,160.00,1.00,1148.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,7,3,2024-02-07,"9E",20363,"9E","N918XJ","4801",12953,1295304,31703,"LGA","New York, NY","NY","36","New York",22,13871,1387102,33316,"OMA","Omaha, NE","NE","31","Nebraska",65,"0850","0842",-8.00,0.00,0.00,-1,"0800-0859",46.00,"0928","1112",7.00,"1131","1119",-12.00,0.00,0.00,-1,"1100-1159",0.00,"",0.00,221.00,217.00,164.00,1.00,1148.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,8,4,2024-02-08,"9E",20363,"9E","N491PX","4801",12953,1295304,31703,"LGA","New York, NY","NY","36","New York",22,13871,1387102,33316,"OMA","Omaha, NE","NE","31","Nebraska",65,"0850","0837",-13.00,0.00,0.00,-1,"0800-0859",36.00,"0913","1128",3.00,"1131","1131",0.00,0.00,0.00,0,"1100-1159",0.00,"",0.00,221.00,234.00,195.00,1.00,1148.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,9,5,2024-02-09,"9E",20363,"9E","N922XJ","4801",12953,1295304,31703,"LGA","New York, NY","NY","36","New York",22,13871,1387102,33316,"OMA","Omaha, NE","NE","31","Nebraska",65,"0850","0930",40.00,40.00,1.00,2,"0800-0859",23.00,"0953","1150",3.00,"1131","1153",22.00,22.00,1.00,1,"1100-1159",0.00,"",0.00,221.00,203.00,177.00,1.00,1148.00,5,22.00,0.00,0.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,12,1,2024-02-12,"9E",20363,"9E","N902XJ","4801",12953,1295304,31703,"LGA","New York, NY","NY","36","New York",22,13871,1387102,33316,"OMA","Omaha, NE","NE","31","Nebraska",65,"0850","0846",-4.00,0.00,0.00,-1,"0800-0859",25.00,"0911","1112",4.00,"1131","1116",-15.00,0.00,0.00,-1,"1100-1159",0.00,"",0.00,221.00,210.00,181.00,1.00,1148.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
